date,open,high,low,close,volume
1981-02-02,0.2236,0.2236,0.2220,0.2220,17433600
1981-02-03,0.2313,0.2328,0.2313,0.2313,11328000
1981-02-04,0.2374,0.2405,0.2374,0.2374,8448000
1981-02-05,0.2436,0.2452,0.2436,0.2436,11702400
1981-02-06,0.2467,0.2498,0.2467,0.2467,10963200
1981-02-09,0.2467,0.2498,0.2467,0.2467,9312000
1981-02-10,0.2498,0.2513,0.2498,0.2498,7132800
1981-02-11,0.2467,0.2467,0.2452,0.2452,6374400
1981-02-12,0.2390,0.2390,0.2374,0.2374,6873600
1981-02-13,0.2374,0.2390,0.2374,0.2374,5577600
1981-02-17,0.2436,0.2467,0.2436,0.2436,4819200
1981-02-18,0.2452,0.2467,0.2452,0.2452,11040000
1981-02-19,0.2452,0.2467,0.2452,0.2452,13948800
1981-02-20,0.2359,0.2359,0.2344,0.2344,16099200
1981-02-23,0.2328,0.2328,0.2313,0.2313,12768000
1981-02-24,0.2313,0.2313,0.2297,0.2297,18921600
1981-02-25,0.2097,0.2097,0.2066,0.2066,77721600
1981-02-26,0.2051,0.2051,0.2035,0.2035,32524800
1981-02-27,0.2159,0.2174,0.2159,0.2159,36057600
1981-03-02,0.2220,0.2251,0.2220,0.2220,19113600
1981-03-03,0.2189,0.2189,0.2174,0.2174,21110400
1981-03-04,0.2159,0.2159,0.2143,0.2143,17625600
1981-03-05,0.2097,0.2097,0.2082,0.2082,8361600
1981-03-06,0.2082,0.2097,0.2082,0.2082,14342400
1981-03-09,0.2082,0.2097,0.2082,0.2082,10041600
1981-03-10,0.2112,0.2128,0.2112,0.2112,10646400
1981-03-11,0.2051,0.2051,0.2020,0.2020,16310400
1981-03-12,0.2128,0.2159,0.2128,0.2128,9216000
1981-03-13,0.2159,0.2174,0.2159,0.2159,10569600
1981-03-16,0.2174,0.2189,0.2174,0.2174,13670400
1981-03-17,0.2097,0.2097,0.2082,0.2082,17577600
1981-03-18,0.2112,0.2128,0.2112,0.2112,20755200
1981-03-19,0.2112,0.2112,0.2097,0.2097,8572800
1981-03-20,0.2159,0.2174,0.2159,0.2159,14764800
1981-03-23,0.2174,0.2205,0.2174,0.2174,8054400
1981-03-24,0.2189,0.2205,0.2189,0.2189,14227200
1981-03-25,0.2282,0.2297,0.2282,0.2282,11875200
1981-03-26,0.2267,0.2267,0.2251,0.2251,15964800
1981-03-27,0.2251,0.2267,0.2251,0.2251,17241600
1981-03-30,0.2251,0.2267,0.2251,0.2251,5318400
1981-03-31,0.2251,0.2251,0.2236,0.2236,4742400
1981-04-01,0.2251,0.2267,0.2251,0.2251,8246400
1981-04-02,0.2267,0.2282,0.2267,0.2267,9792000
1981-04-03,0.2267,0.2267,0.2236,0.2236,13968000
1981-04-06,0.2236,0.2236,0.2220,0.2220,10358400
1981-04-07,0.2205,0.2205,0.2174,0.2174,19910400
1981-04-08,0.2189,0.2205,0.2189,0.2189,33004800
1981-04-09,0.2189,0.2189,0.2174,0.2174,14505600
1981-04-10,0.2220,0.2251,0.2220,0.2220,12000000
1981-04-13,0.2359,0.2374,0.2359,0.2359,8256000
1981-04-14,0.2374,0.2390,0.2374,0.2374,8668800
1981-04-15,0.2390,0.2405,0.2390,0.2390,8889600
1981-04-16,0.2421,0.2436,0.2421,0.2421,37344000
1981-04-20,0.2421,0.2436,0.2421,0.2421,6758400
1981-04-21,0.2467,0.2482,0.2467,0.2467,12691200
1981-04-22,0.2498,0.2513,0.2498,0.2498,14544000
1981-04-23,0.2482,0.2482,0.2452,0.2452,5760000
1981-04-24,0.2467,0.2482,0.2467,0.2467,18451200
1981-04-27,0.2452,0.2452,0.2421,0.2421,9062400
1981-04-28,0.2421,0.2421,0.2390,0.2390,14774400
1981-04-29,0.2374,0.2374,0.2359,0.2359,11712000
1981-04-30,0.2344,0.2344,0.2328,0.2328,7852800
1981-05-01,0.2328,0.2328,0.2313,0.2313,13948800
1981-05-04,0.2282,0.2282,0.2267,0.2267,7977600
1981-05-05,0.2267,0.2267,0.2251,0.2251,7324800
1981-05-06,0.2251,0.2267,0.2251,0.2251,5443200
1981-05-07,0.2251,0.2267,0.2251,0.2251,6307200
1981-05-08,0.2251,0.2267,0.2251,0.2251,14294400
1981-05-11,0.2205,0.2205,0.2189,0.2189,6624000
1981-05-12,0.2189,0.2205,0.2189,0.2189,6662400
1981-05-13,0.2189,0.2189,0.2174,0.2174,4752000
1981-05-14,0.2220,0.2236,0.2220,0.2220,10608000
1981-05-15,0.2236,0.2251,0.2236,0.2236,10176000
1981-05-18,0.2236,0.2251,0.2236,0.2236,10771200
1981-05-19,0.2236,0.2236,0.2205,0.2205,10262400
1981-05-20,0.2297,0.2313,0.2297,0.2297,9628800
1981-05-21,0.2313,0.2328,0.2313,0.2313,10137600
1981-05-22,0.2328,0.2344,0.2328,0.2328,15014400
1981-05-26,0.2405,0.2421,0.2405,0.2405,13814400
1981-05-27,0.2529,0.2544,0.2529,0.2529,14918400
1981-05-28,0.2559,0.2590,0.2559,0.2559,14726400
1981-05-29,0.2544,0.2544,0.2529,0.2529,27091200
1981-06-01,0.2513,0.2513,0.2482,0.2482,11155200
1981-06-02,0.2405,0.2405,0.2390,0.2390,10896000
1981-06-03,0.2359,0.2359,0.2344,0.2344,13766400
1981-06-04,0.2313,0.2313,0.2297,0.2297,8601600
1981-06-05,0.2297,0.2297,0.2282,0.2282,8419200
1981-06-08,0.2267,0.2267,0.2251,0.2251,4233600
1981-06-09,0.2251,0.2251,0.2236,0.2236,5865600
1981-06-10,0.2236,0.2236,0.2220,0.2220,10780800
1981-06-11,0.2282,0.2297,0.2282,0.2282,10320000
1981-06-12,0.2313,0.2328,0.2313,0.2313,11241600
1981-06-15,0.2282,0.2282,0.2251,0.2251,7324800
1981-06-16,0.2220,0.2220,0.2189,0.2189,18537600
1981-06-17,0.2189,0.2205,0.2189,0.2189,7929600
1981-06-18,0.2159,0.2159,0.2143,0.2143,12499200
1981-06-19,0.2159,0.2189,0.2159,0.2159,10963200
1981-06-22,0.2159,0.2174,0.2143,0.2143,3446400
1981-06-23,0.2174,0.2189,0.2174,0.2174,9868800
1981-06-24,0.2174,0.2189,0.2174,0.2174,4521600
1981-06-25,0.2174,0.2174,0.2143,0.2143,4041600
1981-06-26,0.2313,0.2328,0.2313,0.2313,15321600
1981-06-29,0.2328,0.2344,0.2328,0.2328,14976000
1981-06-30,0.2236,0.2236,0.2220,0.2220,10243200
1981-07-01,0.2189,0.2189,0.2174,0.2174,11414400
1981-07-02,0.2097,0.2097,0.2082,0.2082,17097600
1981-07-06,0.2082,0.2082,0.2066,0.2066,13142400
1981-07-07,0.2020,0.2020,0.2004,0.2004,9484800
1981-07-08,0.2020,0.2035,0.2020,0.2020,13977600
1981-07-09,0.2066,0.2097,0.2066,0.2066,10329600
1981-07-10,0.2112,0.2128,0.2112,0.2112,7238400
1981-07-13,0.2112,0.2128,0.2112,0.2112,3446400
1981-07-14,0.2097,0.2097,0.2082,0.2082,9676800
1981-07-15,0.2128,0.2143,0.2128,0.2128,6902400
1981-07-16,0.2205,0.2220,0.2205,0.2205,8448000
1981-07-17,0.2220,0.2236,0.2220,0.2220,6748800
1981-07-20,0.2159,0.2159,0.2128,0.2128,9792000
1981-07-21,0.2082,0.2082,0.2066,0.2066,7593600
1981-07-22,0.2066,0.2066,0.2035,0.2035,6460800
1981-07-23,0.2066,0.2082,0.2066,0.2066,7612800
1981-07-24,0.2066,0.2082,0.2066,0.2066,4358400
1981-07-27,0.2128,0.2143,0.2128,0.2128,6172800
1981-07-28,0.2097,0.2097,0.2082,0.2082,8400000
1981-07-29,0.2082,0.2097,0.2082,0.2082,5174400
1981-07-30,0.2066,0.2066,0.2051,0.2051,7190400
1981-07-31,0.2082,0.2097,0.2082,0.2082,8745600
1981-08-03,0.2066,0.2066,0.2051,0.2051,4694400
1981-08-04,0.2020,0.2020,0.2004,0.2004,12451200
1981-08-05,0.2004,0.2020,0.2004,0.2004,6249600
1981-08-06,0.2004,0.2035,0.2004,0.2004,13315200
1981-08-07,0.1958,0.1958,0.1943,0.1943,4444800
1981-08-10,0.1943,0.1943,0.1943,0.1943,0
1981-08-11,0.1974,0.1989,0.1974,0.1974,7939200
1981-08-12,0.1927,0.1927,0.1912,0.1912,4041600
1981-08-13,0.1943,0.1958,0.1943,0.1943,8083200
1981-08-14,0.1912,0.1912,0.1896,0.1896,5616000
1981-08-17,0.1896,0.1896,0.1881,0.1881,5328000
1981-08-18,0.1881,0.1896,0.1866,0.1866,4857600
1981-08-19,0.1896,0.1912,0.1896,0.1896,3484800
1981-08-20,0.1943,0.1958,0.1943,0.1943,5577600
1981-08-21,0.1881,0.1881,0.1866,0.1866,8476800
1981-08-24,0.1850,0.1850,0.1835,0.1835,6441600
1981-08-25,0.1835,0.1835,0.1804,0.1804,13132800
1981-08-26,0.1773,0.1773,0.1758,0.1758,8035200
1981-08-27,0.1742,0.1742,0.1727,0.1727,15868800
1981-08-28,0.1727,0.1742,0.1727,0.1727,19776000
1981-08-31,0.1727,0.1742,0.1727,0.1727,5510400
1981-09-01,0.1758,0.1789,0.1758,0.1758,5856000
1981-09-02,0.1758,0.1758,0.1727,0.1727,8188800
1981-09-03,0.1665,0.1665,0.1634,0.1634,30518400
1981-09-04,0.1681,0.1696,0.1681,0.1681,10867200
1981-09-08,0.1619,0.1619,0.1604,0.1604,8352000
1981-09-09,0.1665,0.1696,0.1665,0.1665,7113600
1981-09-10,0.1742,0.1773,0.1742,0.1742,7392000
1981-09-11,0.1850,0.1866,0.1850,0.1850,10540800
1981-09-14,0.1804,0.1804,0.1789,0.1789,9369600
1981-09-15,0.1696,0.1696,0.1681,0.1681,9888000
1981-09-16,0.1650,0.1650,0.1634,0.1634,15100800
1981-09-17,0.1573,0.1573,0.1557,0.1557,21830400
1981-09-18,0.1573,0.1588,0.1573,0.1573,15580800
1981-09-21,0.1604,0.1619,0.1604,0.1604,8419200
1981-09-22,0.1557,0.1557,0.1542,0.1542,11520000
1981-09-23,0.1511,0.1511,0.1496,0.1496,27763200
1981-09-24,0.1480,0.1480,0.1465,0.1465,20256000
1981-09-25,0.1419,0.1419,0.1403,0.1403,12662400
1981-09-28,0.1465,0.1480,0.1465,0.1465,12835200
1981-09-29,0.1496,0.1511,0.1496,0.1496,11568000
1981-09-30,0.1496,0.1511,0.1496,0.1496,12499200
1981-10-01,0.1496,0.1511,0.1496,0.1496,6681600
1981-10-02,0.1542,0.1573,0.1542,0.1542,10732800
1981-10-05,0.1634,0.1650,0.1634,0.1634,12652800
1981-10-06,0.1573,0.1573,0.1557,0.1557,16569600
1981-10-07,0.1573,0.1604,0.1573,0.1573,9494400
1981-10-08,0.1573,0.1604,0.1573,0.1573,30288000
1981-10-09,0.1573,0.1573,0.1557,0.1557,16694400
1981-10-12,0.1557,0.1573,0.1557,0.1557,10156800
1981-10-13,0.1588,0.1604,0.1588,0.1588,7315200
1981-10-14,0.1542,0.1542,0.1526,0.1526,4320000
1981-10-15,0.1526,0.1557,0.1526,0.1526,5452800
1981-10-16,0.1526,0.1542,0.1526,0.1526,7132800
1981-10-19,0.1511,0.1511,0.1496,0.1496,9888000
1981-10-20,0.1496,0.1526,0.1496,0.1496,11241600
1981-10-21,0.1557,0.1573,0.1557,0.1557,11961600
1981-10-22,0.1542,0.1542,0.1526,0.1526,19507200
1981-10-23,0.1526,0.1542,0.1526,0.1526,9436800
1981-10-26,0.1526,0.1542,0.1526,0.1526,8380800
1981-10-27,0.1573,0.1588,0.1573,0.1573,14121600
1981-10-28,0.1650,0.1665,0.1650,0.1650,13756800
1981-10-29,0.1650,0.1650,0.1634,0.1634,11721600
1981-10-30,0.1758,0.1773,0.1758,0.1758,9139200
1981-11-02,0.1773,0.1789,0.1773,0.1773,12336000
1981-11-03,0.1819,0.1835,0.1819,0.1819,13622400
1981-11-04,0.1789,0.1789,0.1773,0.1773,8505600
1981-11-05,0.1789,0.1804,0.1789,0.1789,11731200
1981-11-06,0.1789,0.1804,0.1789,0.1789,15571200
1981-11-09,0.1804,0.1819,0.1804,0.1804,7699200
1981-11-10,0.1804,0.1804,0.1789,0.1789,9984000
1981-11-11,0.1773,0.1773,0.1758,0.1758,9724800
1981-11-12,0.1758,0.1773,0.1758,0.1758,11020800
1981-11-13,0.1681,0.1681,0.1650,0.1650,9513600
1981-11-16,0.1619,0.1619,0.1604,0.1604,5721600
1981-11-17,0.1634,0.1650,0.1634,0.1634,9302400
1981-11-18,0.1573,0.1573,0.1557,0.1557,11260800
1981-11-19,0.1557,0.1557,0.1542,0.1542,20745600
1981-11-20,0.1526,0.1526,0.1496,0.1496,10867200
1981-11-23,0.1511,0.1526,0.1511,0.1511,8995200
1981-11-24,0.1511,0.1526,0.1511,0.1511,9504000
1981-11-25,0.1496,0.1496,0.1480,0.1480,11644800
1981-11-27,0.1480,0.1496,0.1480,0.1480,5404800
1981-11-30,0.1542,0.1557,0.1542,0.1542,10761600
1981-12-01,0.1542,0.1557,0.1542,0.1542,6748800
1981-12-02,0.1557,0.1573,0.1557,0.1557,16176000
1981-12-03,0.1557,0.1557,0.1542,0.1542,9091200
1981-12-04,0.1557,0.1573,0.1557,0.1557,16838400
1981-12-07,0.1526,0.1526,0.1511,0.1511,12115200
1981-12-08,0.1511,0.1526,0.1511,0.1511,6556800
1981-12-09,0.1526,0.1542,0.1526,0.1526,6278400
1981-12-10,0.1573,0.1588,0.1573,0.1573,7161600
1981-12-11,0.1573,0.1573,0.1557,0.1557,9139200
1981-12-14,0.1526,0.1526,0.1511,0.1511,10425600
1981-12-15,0.1511,0.1526,0.1511,0.1511,15561600
1981-12-16,0.1511,0.1526,0.1511,0.1511,4300800
1981-12-17,0.1434,0.1434,0.1419,0.1419,26832000
1981-12-18,0.1480,0.1496,0.1480,0.1480,20774400
1981-12-21,0.1480,0.1496,0.1480,0.1480,17308800
1981-12-22,0.1511,0.1526,0.1511,0.1511,15244800
1981-12-23,0.1496,0.1496,0.1480,0.1480,12662400
1981-12-24,0.1480,0.1480,0.1465,0.1465,3177600
